cftc_market_code,cftc_market_name,exchange,spine_symbol,asset_class,active
099741,EURO FX - CHICAGO MERCANTILE EXCHANGE,CME,FX_EUR,FX,1
097741,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,CME,FX_JPY,FX,1
095741,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,CME,FX_GBP,FX,1
092741,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,CME,FX_CHF,FX,1
232741,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,CME,FX_AUD,FX,1
090741,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,CME,FX_CAD,FX,1
112741,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,CME,FX_NZD,FX,1
020601,US 2-YEAR NOTE - CHICAGO BOARD OF TRADE,CBOT,UST_2Y,RATES,1
020607,US 5-YEAR NOTE - CHICAGO BOARD OF TRADE,CBOT,UST_5Y,RATES,1
020656,US 10-YEAR NOTE - CHICAGO BOARD OF TRADE,CBOT,UST_10Y,RATES,1
020658,US LONG BOND (30Y) - CHICAGO BOARD OF TRADE,CBOT,UST_30Y,RATES,1
043602,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,CME,EQ_SPX,EQUITY_INDEX,1
209742,EMINI NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,CME,EQ_NDX,EQUITY_INDEX,1
