cftc_market_code,cftc_market_name,exchange,spine_symbol,asset_class,active
13874P,E-MINI S&P COMMUNICATION INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
13874R,E-MINI S&P REAL ESTATE INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
13874U,MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
13874W,ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE,,,,0
146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,,,,0
146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,,,,0
146LM1,NANO ETHER - LMX LABS LLC,,,,0
157741,THREE-MONTH BLOOMBERG  ST BANK - CHICAGO MERCANTILE EXCHANGE,,,,0
20974+,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,,EQ_NDX,EQUITY_INDEX,1
209741,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,EQ_NDX,EQUITY_INDEX,1
209747,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,,EQ_NDX,EQUITY_INDEX,1
221602,BBG COMMODITY - CHICAGO BOARD OF TRADE,,,,0
239741,Russell 2000 Stock Index Future - Chicago Mercantile Exchange,,,,0
239742,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,,,,0
239744,EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
239747,MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE,,,,0
239772,RUSSEL 1000 MINI INDEX FUTURE - ICE FUTURES U.S.,,,,0
239777,Russell 2000 Stock Index - ICE Futures U.S.,,,,0
23977A,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,,,,0
23977C,RUSSELL 1000 VALUE INDEX MINI - ICE FUTURES U.S.,,,,0
240741,NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,,,,0
240743,NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,,,,0
244041,MSCI EAFE  - ICE FUTURES U.S.,,,,0
244042,MSCI EM INDEX - ICE FUTURES U.S.,,,,0
244741,E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE,,,,0
244742,E-MINI MSCI EMERGING MARKETS - CHICAGO MERCANTILE EXCHANGE,,,,0
24477G,MSCI EM ASIA MINI NTR INDEX - ICE FUTURES U.S.,,,,0
246602,INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE,,,,0
246605,10 YEAR DELIVERABLE IR - CHICAGO BOARD OF TRADE,,,,0
246606,5 YEAR DELIVERABLE IR - CHICAGO BOARD OF TRADE,,,,0
247602,INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE,,,,0
256741,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
299661,EURO FX/JAPANESE YEN - SMALL - ICE FUTURES U.S.,,FX_JPY,FX,1
299741,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,,FX_GBP,FX,1
338741,S&P 400 MIDCAP STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
33874A,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
342601,2 YEAR ERIS SWAP - CHICAGO BOARD OF TRADE,,,,0
342603,2 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,RATES_SOFR,RATES,1
343601,10 YEAR ERIS SWAP  - CHICAGO BOARD OF TRADE,,,,0
343603,10 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,RATES_SOFR,RATES,1
344601,5 YEAR ERIS SWAP - CHICAGO BOARD OF TRADE,,,,0
344605,5 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,RATES_SOFR,RATES,1
399741,EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,,FX_JPY,FX,1
43874A,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,,,,0
43874Q,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,,,,0
597741,3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE,,,,0
599661,EURO FX/BRITISH POUND - SMALL - ICE FUTURES U.S.,,FX_GBP,FX,1
ZB9105,5-Year Eris Standard- Initial - ERIS FUTURES EXCHANGE,,,,0
