cftc_market_code,cftc_market_name,exchange,spine_symbol,asset_class,active
209741,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
209747,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
221602,BBG COMMODITY - CHICAGO BOARD OF TRADE,,,,0
239741,Russell 2000 Stock Index Future - Chicago Mercantile Exchange,,,,1
239742,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,,,,1
239744,EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
239747,MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE,,,,1
239772,RUSSEL 1000 MINI INDEX FUTURE - ICE FUTURES U.S.,,,,0
239777,Russell 2000 Stock Index - ICE Futures U.S.,,,,1
23977A,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,,,,1
23977C,RUSSELL 1000 VALUE INDEX MINI - ICE FUTURES U.S.,,,,1
240741,NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,,,,0
240743,NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,,,,0
244041,MSCI EAFE  - ICE FUTURES U.S.,,,,0
244042,MSCI EM INDEX - ICE FUTURES U.S.,,,,0
244741,E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE,,,,0
244742,E-MINI MSCI EMERGING MARKETS - CHICAGO MERCANTILE EXCHANGE,,,,0
24477G,MSCI EM ASIA MINI NTR INDEX - ICE FUTURES U.S.,,,,0
246602,INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE,,,,0
246605,10 YEAR DELIVERABLE IR - CHICAGO BOARD OF TRADE,,,,0
246606,5 YEAR DELIVERABLE IR - CHICAGO BOARD OF TRADE,,,,0
247602,INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE,,,,0
256741,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
299661,EURO FX/JAPANESE YEN - SMALL - ICE FUTURES U.S.,,,,1
299741,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,,,,1
338741,S&P 400 MIDCAP STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
33874A,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
342601,2 YEAR ERIS SWAP - CHICAGO BOARD OF TRADE,,,,0
