date,spread_d10_d1,mean_pred,mean_realized,abs_spread
1993-02-01,0.0978521929337155,0.0074836963895808,0.0146513922971114,0.0978521929337155
1993-03-01,0.0246788681279314,0.0082468810606945,0.0042218091231378,0.0246788681279314
1993-04-01,0.0144176284134951,0.0095090566430566,0.0151580990957497,0.0144176284134951
1993-05-01,0.053844002002327,0.0086035175299033,0.0057528385333181,0.053844002002327
1993-06-01,0.0578686158702437,0.010515399729809,0.0033476919093166,0.0578686158702437
1993-07-01,0.0510413577035374,0.0102532286638687,0.0094047080750605,0.0510413577035374
1993-08-01,0.078960111502307,0.0111417586980989,0.0129397254571553,0.078960111502307
1993-09-01,-0.0324131250687012,0.0123796569973464,0.0280358293757728,0.0324131250687012
1993-10-01,-0.0249286024525184,0.0122680762290373,0.003251017193221,0.0249286024525184
1993-11-01,0.0754801441541536,0.0089006933257026,0.0119551139077092,0.0754801441541536
1993-12-01,0.0336931641695917,0.007225032528282,0.0127115456708708,0.0336931641695917
1994-01-01,0.0057607943622634,0.0080729427888959,0.0102640459561538,0.0057607943622634
1994-02-01,0.030361185175597,0.0095923918399477,0.0047771682097886,0.030361185175597
1994-03-01,0.0307243387567662,0.0065957068832574,0.0073185362250552,0.0307243387567662
1994-04-01,0.0109935329527542,0.0067390643161486,0.0017253033642159,0.0109935329527542
1994-05-01,0.0292691399662943,0.0053519131970448,-0.0035276216976074,0.0292691399662943
1994-06-01,0.0387582390312897,0.0051940662719299,0.0038610744402379,0.0387582390312897
1994-07-01,-0.0215309631979482,0.0040906051516104,0.0124734302484453,0.0215309631979482
1994-08-01,0.0414532359539489,0.0037409838032728,0.0075791977322223,0.0414532359539489
1994-09-01,0.080469572697849,0.0050221842557374,0.0190060475964875,0.080469572697849
1994-10-01,-0.0093214759161215,0.0049481704869866,0.0040418258571636,0.0093214759161215
1994-11-01,0.040495368287993,0.0044627693065009,0.0031937120655708,0.040495368287993
1994-12-01,-0.0067939688964668,0.0033673855674516,0.0125436437418094,0.0067939688964668
1995-01-01,0.0084828913920245,0.0032594185939859,0.0040761990631226,0.0084828913920245
1995-02-01,0.0359611999407235,0.0046891407500667,0.0093829173953957,0.0359611999407235
1995-03-01,0.0576821742103522,0.0068061338797896,0.0101250529639521,0.0576821742103522
1995-04-01,0.0029063777775257,0.0077740836322925,0.0123204449249158,0.0029063777775257
1995-05-01,0.0832932301182535,0.0080773800976482,0.0139870403242715,0.0832932301182535
1995-06-01,0.0488841859466021,0.0106952525732777,0.0162616775406783,0.0488841859466021
1995-07-01,0.0454586620300355,0.0122872814638738,0.012841749616439,0.0454586620300355
1995-08-01,0.0444594139266168,0.0115559213076423,0.0001778451229746,0.0444594139266168
1995-09-01,0.0318149923429295,0.0123825377364736,0.0643496686169062,0.0318149923429295
1995-10-01,-0.0256741191015071,0.0125365291923113,0.0072894124229573,0.0256741191015071
1995-11-01,0.0393345258163307,0.0123303580444659,0.0048959570553122,0.0393345258163307
1995-12-01,-0.016673604533774,0.0126891186278715,0.0058770561668569,0.016673604533774
1996-01-01,-0.0227721137561651,0.0132268128362805,0.0085295117103666,0.0227721137561651
1996-02-01,-0.0035287442455656,0.0117713154226921,0.0116727696172904,0.0035287442455656
1996-03-01,0.006386372444641,0.0110227126706119,0.0261425443259049,0.006386372444641
1996-04-01,0.0100128801834976,0.0115992398925034,0.0200779870712183,0.0100128801834976
1996-05-01,0.0298042344484096,0.0119998257603344,-0.0058338914469819,0.0298042344484096
1996-06-01,0.0067138265495512,0.011451694304826,-0.0100300109112575,0.0067138265495512
1996-07-01,0.0067461599704333,0.0082866654899852,0.0124740721278669,0.0067461599704333
1996-08-01,-0.0146712748085158,0.0061587054437648,0.0122437073004444,0.0146712748085158
1996-09-01,0.0531565931772708,0.0073901999041672,-0.0050317428303113,0.0531565931772708
1996-10-01,-0.0201239230804619,0.0096650406185087,0.0131666192000828,0.0201239230804619
1996-11-01,0.0753603259788049,0.0087172481633045,0.0124453487325653,0.0753603259788049
1996-12-01,0.0169775555997623,0.0090278693358699,0.0116458226246659,0.0169775555997623
1997-01-01,-0.0163938366227439,0.0094361253538938,-0.0052060715560289,0.0163938366227439
1997-02-01,0.0343754064737147,0.0100280451246733,-0.0003445588690188,0.0343754064737147
1997-03-01,0.0267077795104878,0.0088183553302056,0.0045595508061308,0.0267077795104878
1997-04-01,-0.0400139325291895,0.0066602207703689,0.0157788174430012,0.0400139325291895
1997-05-01,0.0806005619838969,0.0063129061853959,0.0055778783415414,0.0806005619838969
1997-06-01,0.093110179752331,0.0098244224157637,0.0069837717632512,0.093110179752331
1997-07-01,-0.0056054998133574,0.0133258506054974,0.0130940323921342,0.0056054998133574
1997-08-01,0.0085885294849543,0.0134244649706466,0.0107400104056161,0.0085885294849543
1997-09-01,-0.0174749772103998,0.0120024456910492,-0.0046200034192629,0.0174749772103998
1997-10-01,0.0728397807337361,0.0130430622671208,-0.0013049709877274,0.0728397807337361
1997-11-01,0.0641405645874418,0.0103184638681655,0.0024933113804557,0.0641405645874418
1997-12-01,-0.0108146440121684,0.0087148935057777,0.0064426185665504,0.0108146440121684
1998-01-01,-0.0029744062778422,0.0083112619622412,0.0105860995609565,0.0029744062778422
1998-02-01,0.0366317775483936,0.008296214907091,0.0085773847049096,0.0366317775483936
1998-03-01,0.0053364084425214,0.0103172333394598,0.0120294372433031,0.0053364084425214
1998-04-01,0.0404682457198912,0.0118426476297596,-0.0012811230482999,0.0404682457198912
1998-05-01,0.1063768123513728,0.0100442648555672,0.0054252638428484,0.1063768123513728
