asset_id,file,error
ACLX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACLX_combined.csv,MS is not supported as period frequency
ACM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACM_combined.csv,MS is not supported as period frequency
ACMR_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACMR_combined.csv,MS is not supported as period frequency
ACN_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACN_combined.csv,MS is not supported as period frequency
ACT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACT_combined.csv,MS is not supported as period frequency
ACVA_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACVA_combined.csv,MS is not supported as period frequency
ACWI_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACWI_combined.csv,MS is not supported as period frequency
AD_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AD_combined.csv,MS is not supported as period frequency
ADBE_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADBE_combined.csv,MS is not supported as period frequency
ADC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADC_combined.csv,MS is not supported as period frequency
ADEA_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADEA_combined.csv,MS is not supported as period frequency
ADI_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADI_combined.csv,MS is not supported as period frequency
ADM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADM_combined.csv,MS is not supported as period frequency
ADMA_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADMA_combined.csv,MS is not supported as period frequency
ADNT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADNT_combined.csv,MS is not supported as period frequency
ADP_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADP_combined.csv,MS is not supported as period frequency
ADPT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADPT_combined.csv,MS is not supported as period frequency
ADSK_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADSK_combined.csv,MS is not supported as period frequency
ADT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADT_combined.csv,MS is not supported as period frequency
ADUS_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADUS_combined.csv,MS is not supported as period frequency
ADX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADX_combined.csv,MS is not supported as period frequency
AEE_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEE_combined.csv,MS is not supported as period frequency
