date,n_assets,deciles_present,spread_d10_d1,mean_pred,mean_realized
1993-02-01,657,10,0.09785219293371553,0.007483696389580899,0.014651392297111482
1993-03-01,665,10,0.024678868127931408,0.008246881060694556,0.004221809123137856
1993-04-01,670,10,0.014417628413495115,0.009509056643056683,0.015158099095749727
1993-05-01,677,10,0.05384400200232701,0.008603517529903392,0.0057528385333181714
1993-06-01,681,10,0.05786861587024379,0.010515399729809064,0.003347691909316609
1993-07-01,682,10,0.051041357703537446,0.010253228663868796,0.00940470807506053
1993-08-01,687,10,0.07896011150230704,0.011141758698098941,0.012939725457155344
1993-09-01,690,10,-0.0324131250687012,0.012379656997346462,0.02803582937577287
1993-10-01,697,10,-0.024928602452518444,0.012268076229037325,0.0032510171932210417
1993-11-01,710,10,0.07548014415415369,0.008900693325702676,0.011955113907709296
1993-12-01,717,10,0.03369316416959176,0.007225032528282049,0.01271154567087089
1994-01-01,718,10,0.005760794362263441,0.008072942788895905,0.010264045956153859
1994-02-01,723,10,0.03036118517559709,0.009592391839947744,0.004777168209788629
1994-03-01,730,10,0.030724338756766282,0.006595706883257494,0.0073185362250552406
1994-04-01,738,10,0.010993532952754221,0.006739064316148669,0.0017253033642159797
1994-05-01,745,10,0.029269139966294388,0.005351913197044832,-0.0035276216976074626
1994-06-01,749,10,0.03875823903128977,0.005194066271929965,0.003861074440237914
1994-07-01,752,10,-0.021530963197948207,0.004090605151610499,0.012473430248445395
1994-08-01,753,10,0.04145323595394893,0.003740983803272898,0.00757919773222239
1994-09-01,756,10,0.08046957269784907,0.005022184255737439,0.01900604759648753
1994-10-01,766,10,-0.009321475916121563,0.004948170486986683,0.004041825857163699
1994-11-01,771,10,0.04049536828799307,0.0044627693065009645,0.0031937120655708127
1994-12-01,775,10,-0.006793968896466898,0.0033673855674516977,0.012543643741809414
1995-01-01,779,10,0.008482891392024591,0.003259418593985925,0.0040761990631226
1995-02-01,781,10,0.035961199940723554,0.0046891407500667176,0.00938291739539573
1995-03-01,784,10,0.05768217421035227,0.006806133879789639,0.010125052963952146
1995-04-01,787,10,0.0029063777775257607,0.007774083632292547,0.012320444924915856
1995-05-01,789,10,0.0832932301182535,0.008077380097648298,0.013987040324271513
1995-06-01,793,10,0.04888418594660217,0.010695252573277783,0.016261677540678324
1995-07-01,796,10,0.045458662030035596,0.012287281463873881,0.012841749616439033
1995-08-01,800,10,0.04445941392661683,0.011555921307642372,0.00017784512297465277
1995-09-01,803,10,0.03181499234292956,0.012382537736473628,0.0643496686169062
1995-10-01,810,10,-0.025674119101507117,0.012536529192311385,0.007289412422957385
1995-11-01,820,10,0.03933452581633075,0.012330358044465905,0.004895957055312233
1995-12-01,824,10,-0.016673604533774096,0.01268911862787158,0.005877056166856904
1996-01-01,829,10,-0.022772113756165197,0.013226812836280508,0.008529511710366616
1996-02-01,834,10,-0.003528744245565603,0.011771315422692108,0.01167276961729044
1996-03-01,843,10,0.006386372444641054,0.01102271267061196,0.02614254432590491
1996-04-01,844,10,0.010012880183497663,0.011599239892503452,0.02007798707121839
1996-05-01,848,10,0.02980423444840962,0.011999825760334464,-0.005833891446981901
1996-06-01,855,10,0.006713826549551265,0.011451694304826038,-0.01003001091125756
1996-07-01,858,10,0.006746159970433353,0.008286665489985223,0.012474072127866923
1996-08-01,862,10,-0.014671274808515877,0.0061587054437648595,0.012243707300444499
1996-09-01,863,10,0.05315659317727087,0.007390199904167265,-0.005031742830311345
1996-10-01,866,10,-0.020123923080461924,0.009665040618508798,0.013166619200082845
1996-11-01,880,10,0.07536032597880499,0.008717248163304554,0.012445348732565321
1996-12-01,885,10,0.016977555599762363,0.009027869335869935,0.011645822624665984
1997-01-01,890,10,-0.016393836622743903,0.009436125353893883,-0.005206071556028998
1997-02-01,895,10,0.03437540647371475,0.010028045124673363,-0.00034455886901884984
1997-03-01,897,10,0.026707779510487882,0.008818355330205672,0.0045595508061308685
1997-04-01,899,10,-0.0400139325291895,0.006660220770368932,0.01577881744300126
1997-05-01,905,10,0.08060056198389692,0.006312906185395956,0.00557787834154146
1997-06-01,910,10,0.09311017975233102,0.009824422415763772,0.006983771763251246
1997-07-01,914,10,-0.005605499813357437,0.013325850605497413,0.013094032392134242
1997-08-01,918,10,0.008588529484954307,0.01342446497064667,0.010740010405616103
1997-09-01,920,10,-0.017474977210399863,0.012002445691049224,-0.004620003419262968
1997-10-01,930,10,0.07283978073373612,0.013043062267120858,-0.0013049709877274627
1997-11-01,937,10,0.06414056458744188,0.010318463868165526,0.002493311380455786
1997-12-01,940,10,-0.010814644012168473,0.008714893505777721,0.006442618566550448
1998-01-01,948,10,-0.002974406277842295,0.008311261962241263,0.01058609956095658
1998-02-01,951,10,0.036631777548393696,0.008296214907091098,0.008577384704909602
1998-03-01,956,10,0.005336408442521499,0.010317233339459829,0.012029437243303126
1998-04-01,959,10,0.04046824571989129,0.011842647629759645,-0.0012811230482999713
1998-05-01,966,10,0.10637681235137289,0.010044264855567213,0.005425263842848431
1998-06-01,973,10,0.02296184671014067,0.006840948731850649,0.0009216110891887978
1998-07-01,978,10,0.05730290797979006,0.006148245417614846,-0.006213141981470645
1998-08-01,980,10,0.01116734099564552,0.004111318768759705,0.004386265307716206
1998-09-01,982,10,-0.07635593071935812,-0.0032573803206223722,0.024352686473256453
1998-10-01,984,10,0.021728570005618446,-0.0005720925287555975,0.012153810602356447
1998-11-01,988,10,0.1036966834180032,0.0031721248926571692,0.02334921216038333
1998-12-01,992,10,0.05547472371628064,0.0041878273261935365,0.024221231940704704
