,coefficient
ret_m_std,0.013671699532845236
mom_12m,0.0016867407860336123
mom_3m,0.001354194144693599
vol_m_sum,0.001221412483156592
div_cash_m,0.0004779054030599727
mom_1m,-0.012886267272864403
