model,fold,auc,logloss,brier,lift_top_decile,long_only_mean_m,long_short_mean_m,long_only_sharpe_ann,long_short_sharpe_ann
tier0_dummy,3.5,0.5,0.6434446622604667,0.22531002364306887,1.4666666666666668,,,,
tier1_elastic_net,3.5,0.5,5.372699161423668,0.38888811111211113,1.4666666666666668,,,,
tier1_logistic_l2,3.5,1.0,0.3955131734892537,0.1381478102776967,1.4666666666666668,,,,
tier2_gbdt,3.5,1.0,1.000000500029089e-06,1.0000000000495236e-12,1.4666666666666668,,,,
tier2_random_forest,3.5,1.0,0.48323517205671207,0.15220596369847594,1.4666666666666668,,,,
